GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
testsonar,default,Test2,13,0,0,0,6,0,3,0,3,0
testsonar,cn.test,Person,10,6,2,0,3,2,2,1,1,1
